name,date,rate,type,director,cast,country
我想结束这一切 ,08/28/2020,7.3,"剧情, 惊悚",查理·考夫曼,"杰西·普莱蒙, 杰西·巴克利, 托妮·科莱特, 大卫·休里斯, 盖伊·博伊德, 哈德莉·罗宾逊, 格斯·伯尼, 艾比·奎因, 蔻碧·米纳菲, 安东尼·格拉索, 泰迪·库卢卡, 杰森·拉尔夫, 奥利弗·普莱特, 弗雷德里克·沃丁, 瑞恩·斯蒂尔", 美国
花木兰 ,09/11/2020,5.0,"动作, 冒险, 古装",妮琪·卡罗,"刘亦菲, 甄子丹, 巩俐, 李连杰, 李截, 安柚鑫, 马泰, 赵家玲, 郑佩佩, 温明娜, 曾晓童, 袁文忠, 唐辰瀛, 道阿·茂阿, 黄谷悦, 尼尔森·李, 李勋, 饶雪晶, 袁之正, 仁成外桥, 加里·扬, 邝泰恩, 乌特卡什·安邦德卡尔, 钱姆·艾希勒珀拉, 大卫·, 林, 詹森·郑", 美国 / 加拿大 / 中国香港
以家人之名,08/10/2020,6.9,"剧情, 家庭",丁梓光,"谭松韵, 宋威龙, 张新成, 涂松岩, 孙铱, 何瑞贤, 安戈, 苑冉, 张晞临, 杨童舒, 宋芳园, 郝文婷, 刘金龙, 王薇, 郁子阳, 胡宇, 崔尔康, 小葱花, 徐崴罗, 萧李臻瑱, 陈馨妍, 薛淑杰, 赵培琳, 王子瑜, 马杰, 赵刚, 潘婕, 周波, 陈笑含, 谢雨桐, 梅凌甄, 吴栩栩, 杨志玲, 何雪晴", 中国大陆
八佰,08/21/2020,7.6,"剧情, 历史, 战争",管虎,"王千源, 张译, 姜武, 黄志忠, 张俊一, 欧豪, 杜淳, 魏晨, 张宥浩, 唐艺昕, 李九霄, 李晨, 梁静, 侯勇, 辛柏青, 俞灏明, 刘晓庆, 姚晨, 郑恺, 余皑磊, 黄晓明, 徐嘉雯, 张承, 马精武, 胡晓光, 陆思宇, 白恩, 曹璐, 刘云龙, 杨嘉华, 中泉英雄, 高爽, 郑伟, 高冬平, 黄米依, 曹卫宇, 宋洋, 徐乐同, 徐幸", 中国大陆
北平会馆,08/21/2020,2.4,"悬疑, 恐怖",李路,"吴大可, 朱梓瑜, 刘亦彤, 上淇, 杜东, 彭朝辉, 段志峰, 周岳龙, 曹艺", 中国大陆
,06/24/2020,5.7,"动作, 惊悚, 灾难",赵一亨,"刘亚仁, 朴信惠, 李铉旭, 全裴修, 苏熙静, 金丹菲, 乔汉俊", 韩国
釜山行2,07/15/2020,5.1,"动作, 惊悚, 恐怖",延尚昊,"姜栋元, 李贞贤, 权海骁, 李来, 金敏载, 具教焕, 金度允, 李艺媛, 张素妍, 文宇振, 丹尼尔·乔伊, 奥尔布赖特", 韩国
汉密尔顿 ,07/03/2020,9.5,"歌舞, 历史",托马斯·凯尔,"林, 曼努尔·米兰达, 小莱斯利·奥多姆, 戴维德·迪格斯, 芮妮·戈兹贝里, 菲莉帕·苏, 乔纳森·格罗夫, 克里斯·杰克逊, 雅斯曼·塞斯, 琼斯, 奥基里特·奥诺多瓦, 安东尼·拉莫斯, 卡利·贝蒂奥尔, 阿丽亚娜·德博斯, 霍普·伊斯特布鲁克, 西德尼·詹姆斯, 哈考特, 萨莎·赫金斯, 伊弗雷姆·赛克斯", 美国
永生守卫 ,07/10/2020,6.3,"动作, 奇幻","吉娜·普林斯, 拜斯伍德","查理兹·塞隆, 琪琪·莱恩, 马提亚斯·修奈尔, 马尔万·肯扎里, 卢卡·马里内利, 切瓦特·埃加福, 哈利·米尔林, 吴青芸, 娜塔莎·卡拉姆, 梅特·托利, 安娜玛丽亚·玛琳卡, 迈克尔·沃德, 莎拉·尼克斯, 马吉德·埃塞迪, 乔伊·安沙, 安德瑞扎亚茨, 奥利维亚·罗斯, 奥兰多·希尔, 西蒙·钱德勒, 拉塞尔·巴洛格, 亚当·柯林斯, 通恰伊·古奈什, 豪尔赫·莱昂, 马丁内斯, 马汀·麦格, 吉米·斯达", 美国
隐秘的角落,06/16/2020,8.9,"剧情, 悬疑, 犯罪",辛爽,"秦昊, 王景春, 荣梓杉, 史彭元, 王圣迪, 张颂文, 刘琳, 芦芳生, 李梦, 黄米依, 李俊霆, 穆丽燕, 林鹏, 陈朵怡, 赵晖, 刘妍, 任洛敏, 刘晨霞", 中国大陆
